gene_id	conf	product
SO_3588	0.18	yaaH - membrane protein associated with acetate transport YaaH
SO_4640	0.17	antioxidant AhpC/Tsa family
SO_3685	0.17	csgG - curli secretion apparatus outer membrane lipoprotein component CsgG
SO_2264	0.16	iscS - cysteine desulfurase IscS
SO_4418	0.16	CHAP domain protein
SO_3411	0.15	predicted non-catalytic member of peptidase subfamily S41B
SO_0768	0.14	argR - NAD dependent epimerase/dehydratase family protein
SO_1217	0.14	deoC - deoxyribose-phosphate aldolase DeoC
SO_1521	0.14	dld - respiratory FAD-dependent D-lactate dehydrogenase Dld
SO_3176	0.14	O-antigen biosynthesis glycosyl transferase family 4
SO_3915	0.14	cheX - chemotaxis signal transduction system CheY dephosphorylase CheX
SO_4420	0.14	subfamily M23B unassigned peptidase
SO_3037	0.13	xth - exodeoxyribonuclease III Xth
SO_1917	0.13	major facilitator superfamily transporter required for growth on DMSO MFS superfamily
SO_2067	0.13	hisIE - bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase HisIE
SO_4105	0.13	mshA - MSHA major pilin subunit MshA
SO_3464	0.13	thiL - thiamine-phosphate kinase ThiL
SO_4040	0.12	10 TMS drug/metabolite efflux pump (DME) family
SO_3244	0.12	flgG - flagellar component of cell-distal portion of basal-body rod FlgG
SO_0276	0.12	argB - acetylglutamate kinase ArgB
