False,GO_0008641,True,GO_0016874
False,GO_0003911,True,GO_0016874
True,GO_0016874,False,GO_0016879
True,GO_0043169,False,GO_0046872
False,GO_0003989,True,GO_0016874
True,GO_0006631,False,GO_0006633
False,GO_0005509,True,GO_0046872
False,GO_0006633,True,GO_0008610
True,GO_0006633,False,GO_0006636
False,GO_0006633,True,GO_0046394
True,GO_0006633,False,GO_0030497
True,GO_0000166,False,GO_0005524
True,GO_0016874,False,GO_0051002
False,GO_0005524,True,GO_0043168
False,GO_0008922,True,GO_0016874
False,GO_0003987,True,GO_0016874
True,GO_0016740,False,GO_0016743
True,GO_0016874,False,GO_0031956
False,GO_0004075,True,GO_0016879
True,GO_0046872,False,GO_0140663
False,GO_0004485,True,GO_0016874
False,GO_0000287,True,GO_0046872
False,GO_0004585,True,GO_0016743
False,GO_0004775,True,GO_0016874
False,GO_0016531,True,GO_0046872
True,GO_0016874,False,GO_0050218
False,GO_0008756,True,GO_0016874
False,GO_0005524,True,GO_1901363
True,GO_0005737,False,GO_0009317
False,GO_0006633,True,GO_0032787
True,GO_0003824,False,GO_0016874
False,GO_0004070,True,GO_0016743
False,GO_0004467,True,GO_0016874
True,GO_0016874,False,GO_0046933
False,GO_0000036,True,GO_0006633
False,GO_0009317,True,GO_0032991
False,GO_0004776,True,GO_0016874
False,GO_0004812,True,GO_0016874
False,GO_0003910,True,GO_0016874
True,GO_0046872,False,GO_0046914
True,GO_0006633,False,GO_0042304
False,GO_0030955,True,GO_0046872
False,GO_0016405,True,GO_0016874
False,GO_0005524,True,GO_0097367
False,GO_0005524,True,GO_0030554
False,GO_0005524,True,GO_1901265
True,GO_0006633,False,GO_0009107
